epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1243.27,0.32373,0.87684,1,0.27752,0.000552969,0.000552969,0.000552969
2,2009.24,0.15284,0.8838,1,0.34626,0.00106473,0.00106473,0.00106473
3,2567.92,0.16623,0.88568,1,0.31364,0.00153249,0.00153249,0.00153249
4,3073.06,0.1362,0.89719,1,0.29338,0.00146896,0.00146896,0.00146896
5,3488.89,0.12964,0.87202,1,0.39365,0.00140295,0.00140295,0.00140295
6,3872.67,0.10886,0.82035,1,0.61187,0.00133693,0.00133693,0.00133693
7,4245.96,0.09838,0.88541,1,0.33361,0.00127092,0.00127092,0.00127092
8,4623.47,0.083,0.93467,1,0.19802,0.00120491,0.00120491,0.00120491
9,5002.08,0.07685,0.9253,1,0.22764,0.00113889,0.00113889,0.00113889
10,5735.42,0.06693,0.94056,1,0.17559,0.00107288,0.00107288,0.00107288
11,6736.79,0.06902,0.90147,1,0.35969,0.00100687,0.00100687,0.00100687
12,7764.36,0.05925,0.92289,1,0.28123,0.000940855,0.000940855,0.000940855
13,8456.8,0.05431,0.9411,1,0.19044,0.000874842,0.000874842,0.000874842
14,8848.56,0.05148,0.91539,1,0.29387,0.000808828,0.000808828,0.000808828
15,9505.36,0.04831,0.93842,1,0.21125,0.000742815,0.000742815,0.000742815
16,10011.6,0.03688,0.93119,1,0.25623,0.000676802,0.000676802,0.000676802
17,10397,0.04111,0.95181,1,0.20515,0.000610789,0.000610789,0.000610789
18,10760.2,0.03297,0.9427,1,0.24089,0.000544776,0.000544776,0.000544776
19,11128.2,0.02985,0.94083,1,0.21839,0.000478762,0.000478762,0.000478762
20,11502.1,0.02977,0.94003,1,0.2382,0.000412749,0.000412749,0.000412749
21,11876.1,0.02607,0.95181,1,0.17431,0.000346736,0.000346736,0.000346736
22,12251.9,0.0201,0.9502,1,0.2104,0.000280723,0.000280723,0.000280723
23,12617.8,0.02078,0.95127,1,0.19845,0.00021471,0.00021471,0.00021471
24,12975,0.01811,0.95207,1,0.21006,0.000148696,0.000148696,0.000148696
25,13507.6,0.01569,0.95127,1,0.21249,8.26832e-05,8.26832e-05,8.26832e-05
